ticker,error
NYF,Quotes not downloaded.
ONEQ,Quotes not downloaded.
PBP,Quotes not downloaded.
PCEF,Quotes not downloaded.
PCY,Quotes not downloaded.
PDN,Quotes not downloaded.
PEJ,Quotes not downloaded.
PEK,Quotes not downloaded.
PEY,Quotes not downloaded.
PGHY,Quotes not downloaded.
PGJ,Quotes not downloaded.
PKW,Quotes not downloaded.
PNQI,Quotes not downloaded.
PPA,Quotes not downloaded.
PRF,Quotes not downloaded.
PRFZ,Quotes not downloaded.
PSCC,Quotes not downloaded.
PSCH,Quotes not downloaded.
PSCM,Quotes not downloaded.
PSCT,Quotes not downloaded.
PSCU,Quotes not downloaded.
PSI,Quotes not downloaded.
PSJ,Quotes not downloaded.
PSL,Quotes not downloaded.
PSR,Quotes not downloaded.
PUI,Quotes not downloaded.
PWB,Quotes not downloaded.
PWC,Quotes not downloaded.
PWV,Quotes not downloaded.
PXE,Quotes not downloaded.
PXF,Quotes not downloaded.
PXI,Quotes not downloaded.
PXLV,Quotes not downloaded.
PYZ,Quotes not downloaded.
PZA,Quotes not downloaded.
PZT,Quotes not downloaded.
QABA,Quotes not downloaded.
QDEF,Quotes not downloaded.
QDF,Quotes not downloaded.
QEFA,Quotes not downloaded.
QLD,Quotes not downloaded.
QQEW,Quotes not downloaded.
QQQ,Quotes not downloaded.
QQQE,Quotes not downloaded.
QTEC,Quotes not downloaded.
QYLD,Quotes not downloaded.
RDIV,Quotes not downloaded.
RDVY,Quotes not downloaded.
REZ,Quotes not downloaded.
RFG,Quotes not downloaded.
RFV,Quotes not downloaded.
RGI,Quotes not downloaded.
RHS,Quotes not downloaded.
RIGS,Quotes not downloaded.
ROOF,Quotes not downloaded.
RPG,Quotes not downloaded.
RPV,Quotes not downloaded.
RSP,Quotes not downloaded.
RTM,Quotes not downloaded.
RVNU,Quotes not downloaded.
RWK,Quotes not downloaded.
RWL,Quotes not downloaded.
RWW,Quotes not downloaded.
RYE,Quotes not downloaded.
RYF,Quotes not downloaded.
RYU,Quotes not downloaded.
RZG,Quotes not downloaded.
SCHA,Quotes not downloaded.
SCHB,Quotes not downloaded.
SCHD,Quotes not downloaded.
SCHG,Quotes not downloaded.
